1	tatanggapin	tanggap	VB	COOF	_|in|_|ta	0	_
4	ay	ay	LM	LM	_|_|_|_	0	_
5	hinintay	hintay	VB	PFOF	_|in|_|_	4	_
6	niya	niya	PR	PRSG	_|_|_|_	5	_
7	ang	ang	DT	CD	_|_|_|_	8	_
8	pagdating	dating	NN	CP	pag|_|_|_	5	_
9	ng	ng	CC	CCB	_|_|_|_	11	_
10	mga	mga	DT	CDPL	_|_|_|_	11	_
11	anak	anak	NN	CP	_|_|_|_	8	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	umawit	awit	VB	INAF	um|_|_|_	0	_
2	siya	siya	PR	PRSG	_|_|_|_	1	_
3	ng	ng	CC	CCB	_|_|_|_	4	_
4	kundiman	kundiman	NN	CP	_|_|_|_	1	_
5	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
6	sandaling	sandali	RB	RD	_|_|ng|_	7	_
7	tumigil	tigil	RB	RD	_|um|_|_	5	_
8	siya	siya	PR	PRSG	_|_|_|_	7	_
9	at	at	CC	CCA	_|_|_|_	7	_
10	tumanaw	tanaw	VB	INAF	_|um|_|_	9	_
11	sa	sa	CC	CCT	_|_|_|_	12	_
12	malayo	layo	JJ	JCJD	ma|_|_|_	10	_
13	na	na	CC	CCP	_|_|_|_	10	_
14	parang	parang	CC	CCT	_|_|_|_	13	_
15	may	may	VB	VH	_|_|_|_	14	_
16	inaaninag	aninag	VB	IMOF	_|in|_|a	15	_
17	.	.	PM	PMP	_|_|_|_	16	_

1	kinilabutan	kilabt	VB	PFOF	_|in|an|_	0	_
2	si	si	DT	PDSG	_|_|_|_	3	_
3	sisa	sisa	NN	NNP	_|_|_|_	1	_
4	habang	habang	RB	RW	_|_|_|_	1	_
5	patakbong	takbo	RB	RD	pa|_|ng|_	6	_
6	tinungo	tungo	RB	RD	_|in|_|_	4	_
7	ang	ang	DT	CD	_|_|_|_	8	_
8	pintuan	pintuan	NN	CP	_|_|_|_	6	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	hindi	hindi	RB	RF	_|_|_|_	4	_
2	pa	pa	RB	RI	_|_|_|_	1	_
3	halos	halos	RB	RD	_|_|_|_	1	_
4	nakapapasok	pasok	RB	RD	naka|_|_|pa	5	_
5	ay	ay	LM	LM	_|_|_|_	0	_
6	napalugnok	lugnok	JJ	JCJD	napa|_|_|_	5	_
7	na	na	RB	RI	_|_|_|_	6	_
8	si	si	DT	PDSG	_|_|_|_	9	_
9	basilio	basilio	NN	NNP	_|_|_|_	6	_
10	sa	sa	CC	CCT	_|_|_|_	11	_
11	bisig	bisig	NN	CP	_|_|_|_	6	_
12	ng	ng	CC	CCB	_|_|_|_	11	_
13	ina	ina	NN	CP	_|_|_|_	12	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	nakadama	dama	JJ	JCJD	naka|_|_|_	0	_
2	ng	ng	CC	CCB	_|_|_|_	3	_
3	panlalamig	lamig	NN	CP	pan|_|_|la	1	_
4	si	si	DT	PDSG	_|_|_|_	5	_
5	sisa	sisa	NN	NNP	_|_|_|_	1	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	nais	nais	VB	AS	_|_|_|_	0	_
2	niyang	niya	PR	PRSG	_|_|ng|_	1	_
3	magsalita	salita	VB	INAF	mag|_|_|_	1	_
4	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
5	wala	wala	RB	RF	_|_|_|_	7	_
6	siyang	siya	PR	PRSG	_|_|ng|_	7	_
7	mabigkas	bigkas	VB	INOF	ma|_|_|_	4	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	nais	nais	VB	AS	_|_|_|_	3	_
2	niyang	niya	PR	PRSG	_|_|ng|_	1	_
3	yakapin	yakap	VB	INOF	_|in|_|_	0	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	anak	anak	NN	CP	_|_|_|_	3	_
6	ngunit	ngunit	CC	CCT	_|_|_|_	3	_
7	tila	tila	RB	RM	_|_|_|_	8	_
8	wala	wala	RB	RF	_|_|_|_	6	_
9	siyang	siya	PR	PRSG	_|_|ng|_	8	_
10	lakas	lakas	NN	CP	_|_|_|_	8	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	nais	nais	VB	AS	_|_|_|_	3	_
2	niyang	niya	PR	PRSG	_|_|ng|_	1	_
3	umiyak	iyak	VB	INAF	um|_|_|_	0	_
4	ngunit	ngunit	CC	CCT	_|_|_|_	3	_
5	walang	wala	RB	RF	_|_|ng|_	6	_
6	luhang	luha	NN	CP	_|_|ng|_	7	_
7	dumaloy	daloy	VB	INAF	_|um|_|_	4	_
8	sa	sa	CC	CCT	_|_|_|_	10	_
9	kanyang	kanya	PR	POSG	_|_|ng|_	10	_
10	pisngi	pisngi	NN	CP	_|_|_|_	7	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	isang	isa	JJ	JN	_|_|ng|_	2	_
2	impit	impit	JJ	JCJD	_|_|_|_	4	_
3	na	na	CC	CCP	_|_|_|_	2	_
4	sigaw	sigaw	NN	CP	_|_|_|_	7	_
5	ang	ang	DT	CD	_|_|_|_	7	_
6	kanyang	kanya	PR	POSG	_|_|ng|_	7	_
7	nabitiwan	bitiw	VB	PFOF	na|_|an|_	9	_
8	nang	nang	RB	RW	_|_|_|_	9	_
9	makitang	tan	VB	INOF	maki|_|g|_	0	_
10	may	may	VB	VH	_|_|_|_	9	_
11	dugo	dugo	NN	CP	_|_|_|_	10	_
12	ang	ang	DT	CD	_|_|_|_	13	_
13	noo	noo	NN	CP	_|_|_|_	10	_
14	ni	ni	DT	PDSG	_|_|_|_	15	_
15	basilio	basilio	NN	NNP	_|_|_|_	10	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	niyakap	niyakap	VB	INOF	_|_|_|_	0	_
2	at	at	CC	CCA	_|_|_|_	1	_
3	hinagkan	hagkan	VB	PFOF	_|in|_|_	2	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	nagdurugong	durugo	JJ	JCJD	nag|_|ng|_	1	_
6	noo	noo	NN	CP	_|_|_|_	5	_
7	ng	ng	CC	CCB	_|_|_|_	6	_
8	anak	anak	NN	CP	_|_|_|_	7	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	iniwan	iwan	VB	PFLF	in|_|_|_	0	_
2	mo	mo	PR	PRSG	_|_|_|_	1	_
3	si	si	DT	PDSG	_|_|_|_	4	_
4	crispin	crispin	NN	NNP	_|_|_|_	1	_
5	sa	sa	RB	RL	_|_|_|_	6	_
6	kumbento	kumbento	RB	RL	_|_|_|_	1	_
7	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
8	bakit	bakit	PR	QISG	_|_|_|_	7	_
9	may	may	VB	VH	_|_|_|_	8	_
10	dugo	dugo	NN	CP	_|_|_|_	9	_
11	ang	ang	DT	CD	_|_|_|_	13	_
12	iyong	iyon	PR	POSG	_|_|g|_	13	_
13	noo	noo	NN	CP	_|_|_|_	9	_
14	?	?	PM	PMQ	_|_|_|_	13	_

1	sinita	sita	VB	PFOF	_|in|_|_	0	_
2	ako	ako	PR	PRSG	_|_|_|_	1	_
3	ng	ng	CC	CCB	_|_|_|_	5	_
4	mga	mga	DT	CDPL	_|_|_|_	5	_
5	guardia	guardia	NN	CP	_|_|_|_	1	_
6	civil	civil	NN	CP	_|_|_|_	5	_
7	at	at	CC	CCA	_|_|_|_	1	_
8	tinanong	tanong	VB	PFOF	_|in|_|_	7	_
9	ng	ng	CC	CCB	_|_|_|_	10	_
10	quien	quien	PR	QISG	_|_|_|_	8	_
11	vive	vive	VB	INAF	_|_|_|_	10	_
12	?	?	PM	PMQ	_|_|_|_	11	_

1	binaril	baril	VB	PFOF	_|in|_|_	0	_
2	ako	ako	PR	PRSG	_|_|_|_	1	_
3	at	at	CC	CCA	_|_|_|_	1	_
4	nadaplisan	daplis	VB	PFOF	na|_|an|_	3	_
5	sa	sa	CC	CCT	_|_|_|_	6	_
6	noo	noo	NN	CP	_|_|_|_	4	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	ayaw	ayaw	RB	RF	_|_|_|_	4	_
2	ko	ko	PR	PRSG	_|_|_|_	1	_
3	pong	pong	RB	RBS	_|_|_|_	2	_
4	mahuli	huli	VB	INOF	ma|_|_|_	0	_
5	nila	nila	PR	PRPL	_|_|_|_	4	_
6	ako	ako	PR	PRSG	_|_|_|_	4	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	paglalampasuhin	lampaso	VB	COOF	pag|_|hin|la	0	_
2	ako	ako	PR	PRSG	_|_|_|_	1	_
3	at	at	CC	CCA	_|_|_|_	1	_
4	papaluin	palo	VB	INOF	_|_|in|pa	3	_
5	sa	sa	CC	CCT	_|_|_|_	6	_
6	kwartel	kwartel	NN	CP	_|_|_|_	4	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	kumuha	kuha	VB	INAF	_|um|_|_	0	_
2	si	si	DT	PDSG	_|_|_|_	3	_
3	sisa	sisa	NN	NNP	_|_|_|_	1	_
4	ng	ng	CC	CCB	_|_|_|_	5	_
5	basahan	basa	NN	CP	_|_|han|_	1	_
6	,	,	PM	PMC	_|_|_|_	7	_
7	tubig	tubig	NN	CP	_|_|_|_	5	_
8	,	,	PM	PMC	_|_|_|_	9	_
9	suka	suka	NN	CP	_|_|_|_	7	_
10	at	at	CC	CCA	_|_|_|_	9	_
11	pakpak	pakpak	NN	CP	_|_|_|_	10	_
12	ng	ng	CC	CCB	_|_|_|_	11	_
13	gansa	gansa	NN	CP	_|_|_|_	12	_
14	para	para	CC	CCT	_|_|_|_	1	_
15	gamutin	gamutin	VB	INOF	_|_|_|_	14	_
16	ang	ang	DT	CD	_|_|_|_	17	_
17	sugat	sugat	NN	CP	_|_|_|_	15	_
18	ng	ng	CC	CCB	_|_|_|_	17	_
19	anak	anak	NN	CP	_|_|_|_	18	_
20	.	.	PM	PMP	_|_|_|_	19	_

1	muntik	muntik	RB	RD	_|_|_|_	0	_
2	ka	ka	PR	PRSG	_|_|_|_	1	_
3	na	na	CC	CCP	_|_|_|_	1	_
4	nilang	nila	PR	PRPL	_|_|ng|_	1	_
5	mapatay	patay	RB	RD	ma|_|_|_	1	_
6	.	.	PM	PMP	_|_|_|_	5	_

1	hindi	hindi	RB	RD	_|_|_|_	3	_
2	yata	yata	RB	RM	_|_|_|_	1	_
3	nakakaalala	alala	JJ	JCJD	naka|_|_|ka	0	_
4	sa	sa	CC	CCT	_|_|_|_	7	_
5	kanilang	kanila	PR	POPL	_|_|ng|_	7	_
6	mga	mga	DT	CDPL	_|_|_|_	7	_
7	ina	ina	NN	CP	_|_|_|_	3	_
8	ang	ang	DT	CD	_|_|_|_	9	_
9	mga	mga	DT	CDPL	_|_|_|_	10	_
10	guardia	guardia	NN	CP	_|_|_|_	3	_
11	civil	civil	NN	CP	_|_|_|_	10	_
12	na	na	CC	CCP	_|_|_|_	11	_
13	iyan	iyan	PR	DM	_|_|_|_	11	_
14	.	.	PM	PMP	_|_|_|_	13	_

1	sabihin	sabi	VB	INOF	_|_|hin|_	0	_
2	ninyong	ninyo	PR	PRPL	_|_|ng|_	1	_
3	nahulog	hulog	VB	PFAF	na|_|_|_	1	_
4	ako	ako	PR	PRSG	_|_|_|_	3	_
5	sa	sa	CC	CCT	_|_|_|_	6	_
6	puno	puno	NN	CP	_|_|_|_	3	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	tumitig	titig	VB	IMAF	_|um|_|_	0	_
2	lamang	lamang	RB	RI	_|_|_|_	1	_
3	sa	sa	CC	CCT	_|_|_|_	4	_
4	ina	ina	NN	CP	_|_|_|_	1	_
5	si	si	DT	PDSG	_|_|_|_	6	_
6	basilio	basilio	NN	NNP	_|_|_|_	1	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	niyakap	yakap	VB	INOF	in|_|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	3	_
3	ina	ina	NN	CP	_|_|_|_	1	_
4	at	at	CC	CCA	_|_|_|_	1	_
5	ikinuwento	kuwento	VB	PFOF	i|in|_|_	4	_
6	ang	ang	DT	CD	_|_|_|_	7	_
7	tungkol	tungkol	RB	RR	_|_|_|_	5	_
8	sa	sa	RB	RR	_|_|_|_	7	_
9	pagbibintang	bintang	NN	CP	pag|_|_|bi	7	_
10	kay	kay	DT	PDSG	_|_|_|_	11	_
11	crispin	crispin	NN	NNP	_|_|_|_	9	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	ngunit	ngunit	CC	CCT	_|_|_|_	0	_
2	di	di	RB	RF	_|_|_|_	4	_
3	niya	niya	PR	PRSG	_|_|_|_	4	_
4	binanggit	banggit	VB	PFOF	_|in|_|_	1	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	pagpapahirap	hirap	NN	CP	gpapa|_|_|pa	4	_
7	sa	sa	CC	CCT	_|_|_|_	8	_
8	kapatid	kapatid	NN	CP	_|_|_|_	6	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	hindi	hindi	RB	RF	_|_|_|_	4	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ako	ako	PR	PRSG	_|_|_|_	4	_
4	nagugutom	gutom	VB	IMAF	na|_|_|gu	0	_
5	,	,	PM	PMC	_|_|_|_	6	_
6	nanay	nanay	NN	NNP	_|_|_|_	4	_
7	!	!	PM	PME	_|_|_|_	6	_

1	alam	alam	VB	INAF	_|_|_|_	0	_
2	kong	kong	PR	PRSG	_|_|_|_	1	_
3	wala	wala	RB	RF	_|_|_|_	5	_
4	kang	kang	PR	PRSG	_|_|_|_	5	_
5	hilig	hilig	JJ	JCJD	_|_|_|_	1	_
6	sa	sa	CC	CCT	_|_|_|_	8	_
7	tuyong	tuyo	NN	CP	_|_|ng|_	8	_
8	tawilis	tawilis	NN	CP	_|_|_|_	5	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	ipinaghanda	handa	VB	PFBF	ipag|in|_|_	0	_
2	ko	ko	PR	PRSG	_|_|_|_	1	_
3	kayo	kayo	PR	PRPL	_|_|_|_	1	_
4	ng	ng	CC	CCB	_|_|_|_	7	_
5	masarap	sarap	JJ	JCJD	ma|_|_|_	7	_
6	na	na	CC	CCP	_|_|_|_	5	_
7	hapuaan	hapuaan	NN	CP	_|_|_|_	1	_
8	,	,	PM	PMC	_|_|_|_	9	_
9	ngunit	ngunit	CC	CCT	_|_|_|_	1	_
10	dumating	dating	VB	INAF	_|um|_|_	9	_
11	ang	ang	DT	CD	_|_|_|_	12	_
12	tatay	tatay	NN	NNP	_|_|_|_	10	_
13	ninyo	ninyo	PR	PRPL	_|_|_|_	12	_
14	!	!	PM	PME	_|_|_|_	13	_

1	napaiyak	iyak	JJ	JCJD	napa|_|_|_	0	_
2	si	si	DT	PDSG	_|_|_|_	4	_
3	sisa	sisa	NN	NNP	_|_|_|_	2	_
4	sa	sa	CC	CCT	_|_|_|_	6	_
5	tinuran	turan	VB	PFOF	_|in|_|_	2	_
6	ng	ng	CC	CCB	_|_|_|_	6	_
7	anak	anak	NN	CP	_|_|_|_	7	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	isinara	sara	VB	PFOF	i|in|_|_	0	_
2	ni	ni	DT	PDSG	_|_|_|_	3	_
3	sisa	sisa	NN	NNP	_|_|_|_	1	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	pinto	pinto	NN	CP	_|_|_|_	1	_
6	at	at	CC	CCA	_|_|_|_	5	_
7	bintana	bintana	NN	CP	_|_|_|_	6	_
8	ng	ng	CC	CCB	_|_|_|_	7	_
9	kanilang	kanila	PR	POPL	_|_|ng|_	10	_
10	dampa	dampa	NN	CP	_|_|_|_	8	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	tinabunan	tabon	VB	PFOF	_|in|an|_	0	_
2	ng	ng	CC	CCB	_|_|_|_	3	_
3	abo	abo	NN	CP	_|_|_|_	1	_
4	ang	ang	DT	CD	_|_|_|_	5	_
5	baga	baga	NN	CP	_|_|_|_	1	_
6	sa	sa	CC	CCT	_|_|_|_	7	_
7	kalan	kalan	NN	CP	_|_|_|_	1	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	lumuhod	luhod	VB	INAF	_|um|_|_	0	_
2	sila	sila	PR	PRPL	_|_|_|_	1	_
3	at	at	CC	CCA	_|_|_|_	1	_
4	nagdasal	dasal	VB	PFAF	nag|_|_|_	3	_
5	.	.	PM	PMP	_|_|_|_	4	_

1	sa	sa	RB	RL	_|_|_|_	2	_
2	tabi	tabi	RB	RL	_|_|_|_	5	_
3	ng	ng	CC	CCB	_|_|_|_	2	_
4	ina	ina	NN	CP	_|_|_|_	3	_
5	natulog	tulog	VB	PFAF	na|_|_|_	0	_
6	si	si	DT	PDSG	_|_|_|_	7	_
7	basilio	basilio	NN	NNP	_|_|_|_	5	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	magkahalong	halo	JJ	JCJD	magka|_|ng|_	6	_
2	init	init	NN	CP	_|_|_|_	1	_
3	at	at	CC	CCA	_|_|_|_	2	_
4	lamig	lamig	NN	CP	_|_|_|_	3	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	naramdaman	ramdam	VB	PFOF	na|_|an`|_	0	_
7	ni	ni	DT	PDSG	_|_|_|_	6	_
8	basilio	basilio	NN	NNP	_|_|_|_	7	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	pinipilit	pilit	VB	IMOF	_|in|_|pi	3	_
2	niyang	niya	PR	PRSG	_|_|ng|_	1	_
3	ipikit	pikit	VB	INOF	i|_|_|_	0	_
4	ang	ang	DT	CD	_|_|_|_	6	_
5	mga	mga	DT	CDPL	_|_|_|_	6	_
6	mata	mata	NN	CP	_|_|_|_	3	_
7	ngunit	ngunit	CC	CCT	_|_|_|_	3	_
8	tila	tila	RB	RM	_|_|_|_	9	_
9	nakikita	kita	VB	PFAF	naki|_|_|_	7	_
10	pa	pa	RB	RI	_|_|_|_	9	_
11	rin	rin	RB	RI	_|_|_|_	10	_
12	niya	niya	PR	PRSG	_|_|_|_	9	_
13	ang	ang	DT	CD	_|_|_|_	14	_
14	kapatid	kapatid	NN	CP	_|_|_|_	9	_
15	na	na	CC	CCP	_|_|_|_	14	_
16	naiwan	iwan	VB	PFLF	na|_|_|_	15	_
17	sa	sa	CC	CCT	_|_|_|_	18	_
18	kumbento	kumbento	NN	CP	_|_|_|_	16	_
19	.	.	PM	PMP	_|_|_|_	18	_

1	magkausap	usap	VB	INAF	magka|_|_|_	0	_
2	ang	ang	DT	CD	_|_|_|_	3	_
3	kura	kura	NN	CP	_|_|_|_	1	_
4	at	at	CC	CCA	_|_|_|_	3	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	sakristan	sakristan	NN	CP	_|_|_|_	4	_
7	mayor	mayor	NN	CP	_|_|_|_	6	_
8	habang	habang	RB	RW	_|_|_|_	1	_
9	palinga-linga	linga-linga	JJ	JCJD	pa|_|_|_	8	_
10	naman	naman	RB	RI	_|_|_|_	9	_
11	ang	ang	DT	CD	_|_|_|_	12	_
12	luhaang	luha	JJ	JCJD	_|_|ang|_	14	_
13	si	si	DT	PDSG	_|_|_|_	14	_
14	crispin	crispin	NN	NNP	_|_|_|_	9	_
15	.	.	PM	PMP	_|_|_|_	14	_

1	binirahan	bira	VB	PFOF	_|in|han|_	0	_
2	ito	ito	PR	DM	_|_|_|_	1	_
3	ng	ng	CC	CCB	_|_|_|_	4	_
4	kura	kura	NN	CP	_|_|_|_	1	_
5	ng	ng	CC	CCB	_|_|_|_	8	_
6	sunud-sunod	sunud-sunod	JJ	JCJD	_|_|_|_	8	_
7	na	na	CC	CCP	_|_|_|_	6	_
8	palo	palo	NN	CP	_|_|_|_	1	_
9	.	.	PM	PMP	_|_|_|_	8	_

1	nanlaban	laban	VB	PFAF	nang|_|_|_	0	_
2	si	si	DT	PDSG	_|_|_|_	3	_
3	crispin	crispin	NN	NNP	_|_|_|_	1	_
4	dahil	dahil	CC	CCR	_|_|_|_	1	_
5	nasaktan	saktan	VB	PFOF	na|_|_|_	4	_
6	siya	siya	PR	PRSG	_|_|_|_	5	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	kinagat	kagat	VB	PFOF	_|in|_|_	0	_
2	nito	nito	PR	DM	_|_|_|_	1	_
3	sa	sa	CC	CCT	_|_|_|_	4	_
4	kamay	kamay	NN	CP	_|_|_|_	1	_
5	ang	ang	DT	CD	_|_|_|_	6	_
6	kura	kura	NN	CP	_|_|_|_	1	_
7	at	at	CC	CCA	_|_|_|_	1	_
8	napasigaw	sigaw	JJ	JCJD	napa|_|_|_	7	_
9	ito	ito	PR	DM	_|_|_|_	8	_
10	sa	sa	CC	CCT	_|_|_|_	11	_
11	sakit	sakit	NN	CP	_|_|_|_	8	_
12	kaya	kaya	CC	CCR	_|_|_|_	8	_
13	't	't	CC	CCA	_|_|_|_	12	_
14	nabitiwan	bitiw	VB	PFOF	na|_|an|_	13	_
15	ang	ang	DT	CD	_|_|_|_	16	_
16	pamalong	along	NN	CP	pam|_|_|_	14	_
17	yantok	yantok	NN	CP	_|_|_|_	16	_
18	.	.	PM	PMP	_|_|_|_	17	_

1	pinalo	palo	VB	PFOF	_|in|_|_	0	_
2	sa	sa	CC	CCT	_|_|_|_	3	_
3	ulo	ulo	NN	CP	_|_|_|_	1	_
4	ng	ng	CC	CCB	_|_|_|_	5	_
5	baston	baston	NN	CP	_|_|_|_	1	_
6	ng	ng	CC	CCB	_|_|_|_	5	_
7	sakristan	sakristan	NN	CP	_|_|_|_	6	_
8	mayor	mayor	NN	CP	_|_|_|_	7	_
9	si	si	DT	PDSG	_|_|_|_	10	_
10	crispin	crispin	NN	NNP	_|_|_|_	1	_
11	hanggang	hanggang	RB	RW	_|_|_|_	1	_
12	ang	ang	DT	CD	_|_|_|_	13	_
13	huli	huli	RB	RW	_|_|_|_	14	_
14	'y	'y	LM	LM	_|_|_|_	11	_
15	napabulagta	bulagta	JJ	JCJD	napa|_|_|_	14	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	pinagsisipa	sipa	VB	IMOF	pinag|_|_|si	0	_
2	pa	pa	RB	RI	_|_|_|_	1	_
3	rin	rin	RB	RI	_|_|_|_	2	_
4	ito	ito	PR	DM	_|_|_|_	1	_
5	ng	ng	CC	CCB	_|_|_|_	6	_
6	kura	kura	NN	CP	_|_|_|_	1	_
7	kaya	kaya	CC	CCR	_|_|_|_	1	_
8	't	't	CC	CCA	_|_|_|_	7	_
9	pagulung-gulong	pagulung-gulong	RB	RD	_|_|_|_	11	_
10	na	na	RB	RD	_|_|_|_	9	_
11	sumisigaw	sigaw	RB	RD	_|um|_|si	8	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	umuungol	ungol	VB	IMAF	um|_|_|u	0	_
2	si	si	DT	PDSG	_|_|_|_	3	_
3	basilio	basilio	NN	NNP	_|_|_|_	1	_
4	kaya	kaya	CC	CCR	_|_|_|_	1	_
5	't	't	CC	CCA	_|_|_|_	4	_
6	niyugyog	yugyog	VB	INOF	in|_|_|_	5	_
7	ni	ni	DT	PDSG	_|_|_|_	8	_
8	sisa	sisa	NN	NNP	_|_|_|_	6	_
9	ang	ang	DT	CD	_|_|_|_	10	_
10	anak	anak	NN	CP	_|_|_|_	6	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	sinabi	sabi	VB	PFOF	_|in|_|_	0	_
2	lamang	lamang	RB	RI	_|_|_|_	1	_
3	niyang	niya	PR	PRSG	_|_|ng|_	1	_
4	,	,	PM	PMC	_|_|_|_	5	_
5	silang	silang	PR	PRPL	_|_|_|_	6	_
6	mag-iina	ina	NN	CP	mag|_|_|i	7	_
7	ay	ay	LM	LM	_|_|_|_	1	_
8	nanggagapasan	gapasan	JJ	JCJD	nang|_|_|ga	7	_
9	sa	sa	CC	CCT	_|_|_|_	10	_
10	bukid	bukid	NN	CP	_|_|_|_	8	_
11	.	.	PM	PMP	_|_|_|_	10	_

1	hindi	hindi	RB	RF	_|_|_|_	3	_
2	na	na	CC	CCP	_|_|_|_	1	_
3	nagtanong	tanong	VB	PFAF	nag|_|_|_	0	_
4	si	si	DT	PDSG	_|_|_|_	5	_
5	sisa	sisa	NN	NNP	_|_|_|_	3	_
6	pagka't	pagka't	RB	RK	_|_|_|_	3	_
7	hindi	hindi	RB	RF	_|_|_|_	9	_
8	ito	ito	PR	DM	_|_|_|_	9	_
9	naniniwala	naniniwala	VB	IMAF	_|_|_|_	6	_
10	sa	sa	CC	CCT	_|_|_|_	11	_
11	panaginip	panaginip	NN	CP	_|_|_|_	9	_
12	.	.	PM	PMP	_|_|_|_	11	_

1	sunduin	sundi	VB	INOF	_|_|in|_	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ninyo	ninyo	PR	PRPL	_|_|_|_	1	_
4	bukas	bukas	RB	RW	_|_|_|_	1	_
5	si	si	DT	PDSG	_|_|_|_	6	_
6	crispin	crispin	NN	NNP	_|_|_|_	1	_
7	.	.	PM	PMP	_|_|_|_	6	_

1	kunin	kunin	VB	INOF	_|_|_|_	0	_
2	ninyo	ninyo	PR	PRPL	_|_|_|_	1	_
3	ang	ang	DT	CD	_|_|_|_	4	_
4	sahod	sahod	NN	CP	_|_|_|_	1	_
5	ko	ko	PR	PRSG	_|_|_|_	4	_
6	at	at	CC	CCA	_|_|_|_	1	_
7	pakisabi	sabi	VB	INLF	paki|_|_|_	6	_
8	sa	sa	CC	CCT	_|_|_|_	9	_
9	kura	kura	NN	CP	_|_|_|_	7	_
10	na	na	CC	CCP	_|_|_|_	7	_
11	ayaw	ayaw	RB	RF	_|_|_|_	10	_
12	ko	ko	PR	PRSG	_|_|_|_	11	_
13	nang	nang	RB	RW	_|_|_|_	14	_
14	magsakristan	sakristan	VB	INAF	mag|_|_|_	11	_
15	.	.	PM	PMP	_|_|_|_	14	_

1	makikiusap	usap	VB	COAF	maki|_|_|ki	0	_
2	po	po	RB	RBS	_|_|_|_	1	_
3	ako	ako	PR	PRSG	_|_|_|_	1	_
4	kay	kay	DT	PDSG	_|_|_|_	6	_
5	don	don	NN	NNP	_|_|_|_	6	_
6	crisostomo	crisostomo	NN	NNP	_|_|_|_	1	_
7	na	na	CC	CCP	_|_|_|_	1	_
8	gawin	gawin	VB	INOF	_|_|_|_	7	_
9	akong	akong	PR	PRSG	_|_|_|_	8	_
10	pastol	pastol	NN	CP	_|_|_|_	8	_
11	ng	ng	CC	CCB	_|_|_|_	10	_
12	kanilang	kanila	PR	POPL	_|_|ng|_	13	_
13	baka	baka	NN	CP	_|_|_|_	11	_
14	at	at	CC	CCA	_|_|_|_	13	_
15	kalabaw	labaw	NN	CP	ka|_|_|_	14	_
16	.	.	PM	PMP	_|_|_|_	15	_

1	si	si	DT	PDSG	_|_|_|_	2	_
2	crispin	crispin	NN	NNP	_|_|_|_	3	_
3	ay	ay	LM	LM	_|_|_|_	0	_
4	makapag-aaral	aral	VB	COAF	makapag|_|_|a	3	_
5	kay	kay	DT	PDSG	_|_|_|_	7	_
6	pilosopo	pilosopo	NN	NNP	_|_|_|_	7	_
7	tasyo	tasyo	NN	NNP	_|_|_|_	4	_
8	.	.	PM	PMP	_|_|_|_	7	_

1	paglaki	laki	RB	RW	pag|_|_|_	2	_
2	ko	ko	PR	PRSG	_|_|_|_	3	_
3	,	,	PM	PMC	_|_|_|_	4	_
4	hihilingin	hiling	VB	COOF	_|_|in|hi	0	_
5	kong	kong	PR	PRSG	_|_|_|_	4	_
6	bigyan	bigyan	VB	INOF	_|_|_|_	4	_
7	nila	nila	PR	PRPL	_|_|_|_	6	_
8	ako	ako	PR	PRSG	_|_|_|_	6	_
9	ng	ng	CC	CCB	_|_|_|_	10	_
10	lupang	lupa	NN	CP	_|_|ng|_	6	_
